Key,Description,Standard,CHT,EN,JP,CHS
SAY.Flowchart.1.Mia,,"師傅,我出門採藥草了!","師傅,我出門採藥草了!","Master, I'm going out to gather herbs!",マスター、私は薬草を採りに行きます！,
SAY.Flowchart.41.Mia,,"哇,這裡長了好多藥草!今天大豐收!","哇,這裡長了好多藥草!今天大豐收!","Wow, there are so many herbs growing here! It's a harvest today!",わあ、ここにはたくさんのハーブが生えている！ いい収穫だ！,
SAY.Flowchart.4.,,隨後，米婭發現了一種散發著神秘香味的藥草。,隨後，米婭發現了一種散發著神秘香味的藥草。,Then Mia discovers a strange herb that emits a mysterious scent.,そんな折、ミアは不思議な香りを放つハーブを発見する。,
SAY.Flowchart.3.Mia,,"嗯?這是什麼,沒有看過耶!","嗯?這是什麼,沒有看過耶!","Oh,? What's this? I've never seen it before!",おや？これは何？初めて見たよ！,
SAY.Flowchart.35.,,"米婭蹲下開始採集藥草,當她拔起藤蔓時,一條巨大的觸手連著藥草的根部,直直的往米婭身上竄。","米婭蹲下開始採集藥草,當她拔起藤蔓時,一條巨大的觸手連著藥草的根部,直直的往米婭身上竄。","Mia crouched down and began to gather herbs, and as he pulled up the vines, a huge tentacle attached to the root of the herbs tampered with Mia's body.",ミアがひざまずいて薬草を集め始めると、彼がつるを引っ張り上げ、薬草の根についた巨大な触手がまっすぐミアに向かってき上向きだ。,
SAY.Flowchart.36.Mia,,咿呀?!,咿呀?!,Eeeeeeeeeeeee?,えええおおおおおおお？,
SAY.Flowchart.37.Wizard,,....,....,....,....,
SAY.Flowchart.38.Mia,,你是誰?請救救我!,你是誰?請救救我!,Who are you? Please help me!,誰なの？ 助けてください！,
SAY.Flowchart.39.Wizard,,看來有人掉到陷阱裡了,看來有人掉到陷阱裡了,It seems that someone has fallen into the very trap.,まさしく誰かが罠にはまったようだ。,
SAY.Flowchart.40.Mia,,什麼?!,什麼?!,Hmm?,え？,
SAY.Flowchart.12.Mia,,"好不容易逃離了那個恐怖的地方...不管藥草了,趕緊回家吧...","好不容易逃離了那個恐怖的地方...不管藥草了,趕緊回家吧...",,,
SAY.Flowchart.11.Mia,,呼...終於回到草原了。,呼...終於回到草原了。,,,
SAY.Flowchart.13.Wizard,,(唰..),(唰..),,,
SAY.Flowchart.42.Mia,,誰在那邊?,誰在那邊?,,,
SAY.Flowchart.43.,,"米婭往聲音的方向看去,卻什麼也沒有。","米婭往聲音的方向看去,卻什麼也沒有。",,,
SAY.Flowchart.44.Mia,,"都是那個陷阱害的,讓我現在都疑神疑鬼的。","都是那個陷阱害的,讓我現在都疑神疑鬼的。",,,
SAY.Flowchart.45.Wizard,,(唰..),(唰..),,,
SAY.Flowchart.46.Mia,,咿呀!,咿呀!,,,
SAY.Flowchart.7.Wizard,,呼~,呼~,,,
SAY.Flowchart.8.,,"黑衣人輕輕吐出一口菸,眼睛直勾勾的盯著破舊的小門。","黑衣人輕輕吐出一口菸,眼睛直勾勾的盯著破舊的小門。",,,
SAY.Flowchart.6.,,"門被推開了一個小小的縫,黑衣人瞇起眼睛,似乎想在陰暗的燈光下,看清對方的輪廓。","門被推開了一個小小的縫,黑衣人瞇起眼睛,似乎想在陰暗的燈光下,看清對方的輪廓。",,,
SAY.Flowchart.47.Elise,,您好...,您好...,,,
SAY.Flowchart.48.Wizard,,"坐上來,然後拿走你的零用錢。","坐上來,然後拿走你的零用錢。",,,
SAY.Flowchart.49.Elise,,好..好的...,好..好的...,,,
SAY.Flowchart.50.Wizard,,....,....,,,
SAY.Flowchart.51.Wizard,,恩...?,恩...?,,,
SAY.Flowchart.52.,,"在女人貼近的時候,黑衣人感受到了異樣的氣息,而女人也發現到了這一點。","在女人貼近的時候,黑衣人感受到了異樣的氣息,而女人也發現到了這一點。",,,
SAY.Flowchart.53.Wizard,,你不是我叫的人!,你不是我叫的人!,,,
SAY.Flowchart.54.Elise,,"哦?很敏銳嘛,我喜歡敏銳的孩子。","哦?很敏銳嘛,我喜歡敏銳的孩子。",,,
SAY.Flowchart.55.Wizard,,"哼,就拿你代替,也不是不行。","哼,就拿你代替,也不是不行。",,,
SAY.Flowchart.56.Elise,,哦?那看你做不做得到囉。,哦?那看你做不做得到囉。,,,
SAY.Flowchart.21.,,"在微弱燈光的夜色中,有個男子坐在床上,輕輕吹熄桌邊的蠟燭。","在微弱燈光的夜色中,有個男子坐在床上,輕輕吹熄桌邊的蠟燭。",,,
SAY.Flowchart.22.,,"望向半掩的門口,破舊的門扉被風吹的喀搭作響。","望向半掩的門口,破舊的門扉被風吹的喀搭作響。",,,
SAY.Flowchart.23.,,"此時,一個融在夜色的身影悄悄的現形,男子的眼睛忽然一亮。","此時,一個融在夜色的身影悄悄的現形,男子的眼睛忽然一亮。",,,
SAY.Flowchart.57.Wizard,,是你。,是你。,,,
SAY.Flowchart.58.Elise,,哦?你還記得我?,哦?你還記得我?,,,
SAY.Flowchart.59.Wizard,,"那天晚上之後,我再也無法對其他女性提起興趣了。","那天晚上之後,我再也無法對其他女性提起興趣了。",,,
